district,Total Calls,Emergency Calls,Road Accidents,Medical,Fire,Building Collapse,Crime Incidents,Drowning,Explosion,Misc,Fake Calls,Patients Rescued
Lahore,19008571,1024477,474873,438171,29943,1429,25472,984,409,53196,1755,1014268
Rawalpindi,6847824,176946,73761,78969,7718,145,5466,216,142,10529,155,191363
Faisalabad,9172915,519353,200160,233372,12832,1324,26946,702,130,43887,214,543478
Multan,6318038,376382,123717,215388,7231,303,10313,305,57,19068,174,421227
Gujranwala,6740694,316323,126572,137369,7602,467,11893,585,256,31579,336,319947
Bahawalpur,5087302,211585,61673,116607,3027,57,5698,318,19,24186,267,214437
Sargodha,4076962,154874,48250,86204,3043,161,5123,179,19,11895,11,151333
D.G. Khan,4377428,217013,46274,131740,2992,369,7550,402,51,27635,47,254947
Sahiwal,3934172,191363,61849,97110,2941,233,9283,458,18,19471,74,216734
Sialkot,5136422,124925,64005,39442,5089,204,4017,653,30,11485,191,137815
Rahim Yar Khan,7332819,172643,55658,95915,2573,180,3946,415,34,13922,55,224680
Murree,1823830,47763,6360,32875,663,22,471,63,3,7306,48,53380
Jhang,2027737,159020,39526,92074,1893,278,5756,210,35,19248,47,223624
Khanewal,2361521,137853,41331,70070,1719,103,6178,230,8,18214,25,152309
Rajanpur,2018833,75973,17350,38623,1064,86,2528,132,8,16182,24,145385
Muzaffargarh,2399661,96033,24513,54580,977,146,2864,202,13,12738,28,142560
Gujrat,1600406,66122,34505,20931,1686,103,2125,315,20,6437,34,86850
Bahawalnagar,1831232,82421,21933,45916,1294,115,3349,131,20,9663,102,84565
Attock,941995,67037,12874,43336,964,72,1405,212,24,8150,47,71128
Jehlum,1633417,38988,14742,18678,919,37,861,155,6,3590,38,49459
Toba Tek Singh,1335752,70475,21096,37584,809,86,3018,98,8,7776,12,82194
Pakpattan,1009800,72117,21925,33991,758,57,3328,197,8,11853,4,98742
Mianwali,1073058,54810,14534,29992,1067,58,2998,362,2,5797,5,59250
Kasur,1543933,80367,35452,33555,1396,206,2710,165,14,6869,115,133054
Vehari,1078112,68232,22112,35927,1286,76,2778,168,7,5878,8,77080
Chakwal,1502332,30391,12282,12256,802,22,859,87,6,4077,20,32921
Okara,1759490,94208,33519,45143,1472,136,4793,283,25,8837,5,112833
Hafizabad,1080350,55716,21606,23896,1731,146,2252,240,12,5833,8,86076
Sheikhupura,1805433,116864,47630,50392,2298,196,4572,380,13,11383,15,133611
Lodhran,1362935,78900,21841,44637,1046,59,3064,148,5,8100,41,87212
Nankana Sahib,1207211,53879,20656,23477,1496,187,2405,170,9,5479,49,66616
Khushab,518004,50115,15080,26848,715,55,1802,86,1,5528,12,56477
M.B. Din,1284906,44920,19302,16677,1173,98,1927,321,7,5415,1,61935
Narowal,1271987,59852,16086,32573,1436,106,2023,122,55,7451,2,69424
Layyah,976424,55356,16319,29151,794,63,1646,110,13,7260,20,101819
Bhakkar,1179783,57588,12733,32680,862,86,1801,118,7,9301,71,63347
Chiniot,890359,45466,22180,15762,919,129,1933,113,5,4425,1,61078
Total,115551648,5346350,1924279,2611911,116230,7600,185153,10035,1499,489643,4061,6083158
